Ulasan
respon sih cepat langsung tapi kirim 4 baranh sesuai harga seller kadang ga tanya tolong tingkat lagi tapi barang bagus sesuai harga kelupas sedikit
mengecwakan pesan 2 sepatu yg kirim 1 sepatu wa dintelfon mah bls dangkat udah gitu kualitas sepatu jelek jamin kecewa beli
barang terima kualitas muas
puas
produk sesuai gambar
terima kasih aja proses
pesan 3 patah 2  packing aman
seller ok packing rapi kirim cepat ga masalah cuman produk sesuai ekspektasi dinding kokoh lentur pasang simple terima kasih btw
terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih
kecewa inti kecewa 
ukur kecil next lain lebihin 1 ukur sepatu pakai
biar bintang bicara
saya kecewa sistem kerja kirim jasa kirim nya sedia jasa yes yakin esok sampai sama kirim reguler salah kurir salah seller yg tindak yg prioritas barang yg  2 hari sengaja sistem buruk saya selamat 28rb jasa yes claim karna hasil kirim 1 paket nya lumayan tambah2 omset itu sengaja selamat hasil kacau yg sedih saya tp moga depan lagi maaf alam buruk
barang standar sesuai dngan harga
sablon aj logo
bahan tipis sekali moga kuat sj
barang kirim cepat komunikasi baik barang tahan lama pakai dalam
tanggal 14 sampai tanggal 30
puas rugi kualitas barang terima buruk
ukur yg kirim sesuai ukur yg tulis ulang
model pesan sesuai kualitas barang yg tampil barang yg terima kasar sekali
bagus gak klip gak kencang
salah kirim  pesan size pria chat 34 13 22 ga sneaker  kembali gimanaaa ongkornya mahal lo iniiii
tali sepatu belang suka sesuai pesan nmr 42 kirim nmr 40
barang si oke pesan navy size 42 yg kirim hitam size 41  packing rapih 
barang terima hanya kecewa kirim yg
ngak tali warna sesuai
lem rapih enteng banget
 not bagus quality not even close
speaker jelas pakai
paket sdh sampai kecewa  pantesan aja murah bkn samsung asli
beli 2 biji 2-2 patah tmpt yg temu suction
barang sesuai deskripsi bs tempel pd interior mobil yg gelombang kualitas plastik jg ragu
pikir bahan bagus tp sudah harga ga mahal klu kawan2 selera yg sy saran utk berfikir ambil produk krn pas2an maklum harga kualitas
kualitas barang rendah tp sesuai harga barang kondisi kaca pecah
ball head kunci sekali
muas komplain respon
cek dlu bos gerigi tahan lepas trus yg hp jatoh
barang kasar banget sesuqi foto
kagak pas motor ninja 250 fi sama kagak pas polygon stratos
kirim barang sdh rusak komplain ga terima maki amp 34 hina beli
dewasa anak gede
barang rusak kirim
warna tdak sma gambar trima kasih
kait gak kuat gampang goyang jd gampang jatuh jd kasih lem korea rekat lg biar ga mudah jatuh
jual responsif item box lengkap guna not rekomen seller
kirim lama no rekomen deh
sesuai gambar
hp rusak ga bs dipake sekali
bintang nilai semua
batteray hp original batteray cepat habis cepat lowbet
kecewa barang yg order warna merah ready yg kirim warna hitam
baterai hari udh bau gosong untung ga ledak 
produk buruk dipake buang sampah casing buka sim baca mending beli produk 2nd produk ini
cashing gak nempel batre drop apesss
tombol ga fungsi
barang kawe kawe ya barang fungsi ga baca memori gak bluethoot sy pikir asli bukan
kualitas sesuai merk
barang yg terima original nokia kecewa
barang rusak semua hp china bener2 payah sesuai harga kualitas jelek maklum lah harga beda 2x lipat yg asli
batt cepet abis bukan nokia yg dahulu
barang udah sampe kmaren
beli 2 1 gak digunain alias rusak
tulis 34 supercopy 34 replika tulis lagi nama produk kecuali incar beli yg cermat p
suara jelek bgd nerima telp baterai jg gak pake hari habis keypad jg susah
cas gak bs ngisi batre cpt habis
kecewa 
brng sesui pesan warna biru dkirm warna merah
barang sesuai deskripsi sisi fungsional kualitas barang krn harga murah lampu keypad nyala bagi batre longgar ganjal sy pakai kertas fungsi batre tahan 1 pagi - malam kualitas suara baik klo layan toko baik
kirim cepat hpx putar musik tobol2x bgs
hp mati
barang ga fungsi baik
produk kecewa kualitas barang jelek
batre hp cepat habis alias boros
beli 3 produk 2 biji baterai bocor 1 biji kaga charge mao kirim  ongkir dll susah
baterai ngedropan 6jam abis cuman stand by pketan isi cuman hp amp cas gk dusbook
barang yg kirim warna sesuai mesan kualitas
batere cpt habis
beli 5 unit hp ga yg satu yg bgus jual bohong solusi
hp yg klo telfon ga suara kecewa
produk kw mudah rusak
kirim
barang cacat komplain lambat nunggu abis garansi pokok ga beli
barang sampah nokia ini kalo jual yg bener km hpnya suka suka mati2 sendiri
deskripsi tambahin 34 barang replika 34 biar gak kecewa beli nya tombol jemblos kecewa
tahan 3hari charger
paket bungkus dng rapih dan bgs smoga unit bagus dng packaging nya
3 mati retur gak direspon bukan nokia
sinyal udah nyoba pake kartu pun
sen warna biru kirim warna hitam untung hp murah
karuan beli produk china aja barange parah enteng kya krupuk suara speaker parah layar kya main bocah
sesuai yg terang mirip kayak hp china
terima kasih ooo barang gak ori
kaca retak kaya hp second
hp keluar suara dering baterai drop jelekkk skali charger ledak
gak utk nelpon cek pulsa doang tukar
hp mati guna pertama dan gak nyala
gan knp pasang kartu hp gg nyala kedap kedip mulu
jual barang kw terang ga kasih terang barang kw tau gitu ga transfer deh not rekomen ed 
bluetooth ga ketemu hp lain ga nemuin bluetooth hp lain menu musik ga baca lagu yg memori udh refresh
batre pakai abis alias dropp bom pake abis carger jam udah abis
lumayan bagus telat pngiriman
batre gak awet barang ringkih
pesan warna merah  kirim warna biru  kecewa 
hp ringkih gmpg rusak  hp nokia replika
koj batre boros banget yak ama sinyal gak muncul
dengar radio earphone fungsi coba pakai handsfree 3 pcs yg dengar mohon depan teliti kirim barang terima kasih
hape ringkih padahal tahu hape nokia iti build qualitynya bagus agak kecewa sih tp moga barang awet
ringan kaya hp ringan spiker telpon rusakkkk
batere drop susah charge krn mgkn masalah
hp gampang mati amp rekondisi ganti sing barang ori nokia charger baterai moga sukses jual
baterai cepat habis lampu keypad nyala semua
kirim barang
beda nokia 130 yg beli counter hp kwalitas beda
hati2 chargeran fungsi
kirim daerah jakarta
kecewa berat layak hp main
hpnya ngerestart teruss nokia cap ini sesuai yg harap
barang nyampe packing rapih tpi kualitas kurang telpn suara kecil volume udah maksimal pasang headset suka mati sentuh produk blm recommend
bos knp jaring ga conect sim card gmn solusi
kirim pake banget pas dateng hp kyk gores layar speaker pecah suara tlp pdhal sdh maksimal settingannya colok headset kepake rekomended
sesuai warna skripsi pakat
produk buruk tidak telpon nyala 10 menit lgsg mati
maaf barang slot simcard 1 konek hubung jaring baterai cas cepat habis kalau retur bs ga ya makasih
hape bekas hape kw ya  moga usaha berkah  amin
ga gambar
gan ko gabilang klo kw dikirain harga murah model baru
warna yg pesan sesuai
produk blm muas
hp tiru  bentuk merek aja isi zoonk
speaker tlponnya rusak loh gan makasih
hp fungsi
beli 2pc 1 ok 1 lagi suara ada suara ngak ada cek barang kirim
produk minggu udh mati gimana sih
hp rusakk dagang diam
nyala hpnya gk nyala
produk hp nyala chargernya rusak pake charger bisa produk masalah kecewa
respon cepat tapi sayang casing yg pecah
baterai boros cukup akhir makasih gan sukses selalu
kirim lambat sabtu pagi transaksi selasa malem barunampai lot
barang jelek casing ga ori speker pecah barang asli samsung casingnya yg samsung
kwalitas menengecewakan rusak
kecewa hp nya suara nada dering aneh layak hp samsung
cacan cacan taik tffffgfffggggggggggggggg
hp cpet rusaakkk yg jual toko tanggung kecewa  hati hati toko tanggung jawab
respon kendala barang nya depan coba layan mantap
barang rekondisi cantum deskripsi
kecewa hp kw bkn baru kitab
barang lengkap handsfreenya
kirim lamaaa fitur barang sesuai asli
beli hp jual kirim bude sumatra beliau hari pakai dicharge pas cek servis bilang kalo samsung palsu kecewa beli 2 pcs pula
respond cepat tp sampai lama barang bagus tp retak sayang
speaker ga fungsi kalo tlp tlp ga kedengeran suara tlp kadang nada sibuk pdhl hape guna tlp hape nyambung bs kadang ga pdhl pulsa banyak over all kecewa 
barang kirim salah kirim warna kembali uang 50 rb  check barang kirim redmi note 4 redmi note 4x harus cpu hio x20 deca core 2 1ghz kirim qualcom snapdragon 625 octa core max 2 0 ghz jadi  kadung deh refund  repoooooot
barang sesuai pesan
yg hitam suara pecah
barang jelek batre ga bagus hp ga fungsi beli
tampil layar buram gan jauh beda original
kirim cepat sih cuman cas batere ga gerak ywdh ganjal lemari es sajah
casanya beda letuk lgi - - bikin listrik turun
barang sesuai harap payah
ukur sesuai hp
barang refund hp gak cukup eh gak seller alamat lengkap komplain
kait hp gagang gak klik ngeri jalan lepas
naoroh hpnya kecil sen kasih gin rada kecewa layan
kait patah 1 cari dalem box ga adaa patah murni seller kacau harga lumayan tp sia sia beli anggep aja sedekah dah ama sellernya ga berkah
powerglue nyantol doang gak ngehold
nii ga bisaa yaa pasang spion motor matic kak lubang gede spion
muat pasang spion honda beat pop gampang copot anti copet
order 2pcs yg mati total ga hidup
kirim 
macet suara pecah dengar
kecewa
buruk pdahal situ pengirimanya hari nyampenya minggu
penyek boss micnya bunyi 2 order kecewa2 tau tunggu dtg dolo 
barang yg kirim sesuai kirim barang yg hrga murah tp oke uang sisa udah kembali
tolong kirim cek ada thanks
barang kirim brng rusak
barang kosong tp uang kok thanks depan interaksi konsumen dar ganti barang kalo krn overload pesan gak waktu konfirmasi mah resiko jual dar saran lho terima kasih anyway gan
barang tulis jabra gbr beli putih gold warna gold barang krg bagus suara
otg aja hitam tp emas minus parah nih os mana dikonek bkin hp mati
sen 4 barang yg nyampe 2 walopun refund cash tp ad konfirmasi dulu
gak ad barang mohon baik layan harga beli kirim pesan kl barang gak gak sesuai pesan nanya sharusnya masih gak
gunting kuku krg tajam jepit uban jg
coil brush blm kirim
barang prosuknya cacat milik reta
ksh 2 krn merekny beda terang
kualitas barang ga masalah tp karakter ya sedih yg mau krn strawberrynya krn kirim beda cari lagi yg bayar moga salah tutup depan ya moga cek ricek order yg yg kirim berkah utk jual beli amin
segel da kbuka cek gel kagak yaaak
barang yg kirim sesuai pesan gambar udah yg rady pesan sesuai yg tera kasih aja
ngga foto warna kuning polos semua kecewa
salah beli ngga kasih bintang 5 ngga pakai barang
kecewa bgt barang yg dtg yg harus udah konfirmasi barang dtg hari kamis abai 2 keluh chat abai jwb suruh kirim aja barang yg salah barang yg beli kirim ulang plissssss deh mana aja dr 2 yg lalu barang dtg plg lambat tgl 2 sep 2018 barang yg salah ngak tgg ongkirnya serah gimana cr nya tunggu tgl 2 kalo ngak barang jd milik saya dri depok jagakarsa ngak jauh pakai gojek
direfund cash amp sdh terima
kirim barang kasih ganti uang customer kecewa info belum
barang sesuai sih pas dinyalain alarm idup batre jg dapet yg udah low bahan ringkih alhasil cuman jd gantung kunci biasa harga segitu ga ngarep lah
2 biji batreinya dah habis
pesan kirim model ga sesuai gambar
knp brng yg ft sm yg kirim beda
sen 4 barang yg nyampe 2 walopun refund cash tp ad konfirmasi dulu
barang basah dus rendam banjir
sesuai pesan kirain pake cas salah lihat yg cas selisih dikit
barang bagus cm barang yg dtg sesuai minta sen 15 darkbrow dtgnya 8dark brown  7 abu
pesan no 01 06 kirim no 02 03 04 tulis kosong  cancel
kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 kirim pagi sore ditgl 3 undur kirim alas cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung sabtu minggu sampe kirim tgl 3 sore jnt minggu buka dan tau kirim tgl 5 siang sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
kecewa sesal
speaker retak pojok
barang ada uang kembali sesuai bayar plus ongkir ubah volume berat barang tolak sangat kecewa tidak rekomendasi
produk kirim ga kasih ulas
pakai patah gagang kuat
payah 39
dus ancur pengiruman kaya cuman kirim
cuman nyala belah
gambar tpi headset mati belah
isi karat segel
di-update stock ada barang kirim
barang masalah sesal adalah seller informatif stock kurang diinfolak dahulu kirim kirim pemberitahuan haru smencari kurang barang bad service
produk kosong tp gpp lah uang refund
kualitas bagus
lapak kecewa kirim barang sesuai kirim tripod holder sambung kirim akhir barang guna
barang sesuai psn an tp knapa kg da dus hanya cuma plastik
barang pecah retak mulus
barang gada
pilih 3 pilih warna warna yg pilih dinkirim
pesan 10 biji warna merah biru tua hijau kirim warna hitam semua parah
parah gak sesuai gambar hitam yg kirim warna orange brengsek
ga lengket produk bagus
ga nempel sekali
barang cacat periksa dulu
warna ga sesuai yg
earphone sih dateng ngga kabel packing cek terima kasih ehe
ga da suara parah bgt kirim ga sesuai ekstimasi
produk fungsi
barang pakai kecewaa
barang rusak suara sdh konek malas komplain krn beli barang
barang yg 1 bs pake yg 2 gk bs pakai
pakai jasa jne yes tanggal 6 februari 2019 tanggal 9 februari kirim biaya murah saya kecewa
maaf kecewa barang sesuai deskripsi telpon
guna charge 1x gabisa dipake lagi ditawarin toko kembali produk ganti syarat ongkir tanggung beli  refund pun barang rusak kirim kembali bayar ongkir capede drpd jual barang ga kualitas mending evaluasi deh biar langgan puas kualitas produk
barang kembali uang
barang rusak pakai
beli 3 gbs dpke parah
barang rusak 1 jual ga respon
earphone fungsi cash
headset bluetoothny koneck handphone tpi bunyi tlg ksih cerah gan wa 085367043379
udh beli 2 kirim 2 aduuh
nunggu minggu barang
barang cas suara standar aja
barang charge lumayan kecewa
cacat produk gak nyala beli
bagus baterai cpt habis gk papa
baterai gampang habis cas full
pake nelpon dengung suara mic
jual respon lambat pakai
jual ecek kondisi barang kirim barang yg terima cas lubang cargernya gak pas konektor
maaf kecewa barang lubang chargernya geser pakai
deskripsi tulis ready warna hitam putih mistis muncul warna biru barang tangan beli
ud komplain ad yg rusak br bilang bijak toko ongkir barang barang ganti tanggung beli
pake 1 doang bangkar ga cas sia sia dah beli
barang pakai 2hari mati rusak
barang sesuai pesan mo retur hrs kirim ongkos retur
telpon suara musik suara bgt
suara rada pecah
produk rusak
charger fungsi
emas bagus kardus penyet
barang terima fungsi dicharge
""
dear handphone tiam ah udah senang excited banget response cepat banget kirim lama packaging rapi banget pake bubble wrap pas coba produk samasekali gak nyala teken sampe berjam2 gak nyala juga charge gak nyala juga gak suudzon sampah produk gak pakai boro2 pakai hidup kagak tolong make sure barang works  it 39 s okay untung harga gak coba sampe ratus ribu beli kecewa  asli kecewa banget pas udah buka paket yg packagingnya super oke ini
barang sma
kirim hitam kirim putih udah ksih terang klo kosong cancel
barang bagus suara jernih baru pakai sekali mati total gimana ini
sen 2 pcs satu mati total udah pusat resolusi gaada solusi beli retur ongkir pp tanggung beli  haha lucu  gausah seller 
barang rusak  connect hp return ga
charger headset warna putih benda asing yg halang lubang akibat carger dalam input charger headset
barang bagus smg awet dehh ni barang
sorry ga pakai nyala sekali dicharge 1 pe 2 jam ga nyala
deskripsi warna hapus kirim sesuai stock
headset mati pakai respon lama sen warna hitam warna putih
headset ga nyala
suara maksimal kecil dicharge maksimal 40 baterai tahan
barang rusak nyala retur barang ongkir retur tanggung beli kalo jual cari untung aja perhatiin konsumen
jual peka komplain cs kecewa langgan
kirim lama cepat respond promo gratis ongkir laku
headset conek satu beli 2 yg ngga kepake
sesuai merk samsung dekskripsi kosong warna sesuai
kabel charger nggak bisa gimana gan
suara ngga jernih aga ngerebek
barang udah connect ga suara
harga gak bohong baru pakai 1 hari mati gak pakai
kemas baik kardus earphone peot buka request warna cream hitam
packing rapi ditrima kondisi bagus charge ga indikator nyala tunggu ga tanda2 fungsi mana salah ikhlasin aja moga jual kasih feedback positive bikin trauma beli barang elektronik online
warna beda yg pes
paraahhhhhhh hitam biru gimana sih- - kalo ga cancel ajaa niat jual ga sih fakk kalo bintang 0 gw kasi bintang -5 sekaliannn pffftttttttt jual tu yg jujurr biar berkaah  pfffttttt
baterai cepat habis  packing rapi
hitam kasi putih
kualitas barang buruk not rekomen ed
paket sanpai hancur
barang fungsi
baterai cepat habis hanya maksimal 1 jam koneksi putus sendiri
terima sesuai foto dicharge pas balik2 baterai sdh gelembung sdh rusak total terima kasih
sudh cancel kirim barang jg nyala cas
barang terima jamin
parahhhhhhh pengirimannnn lamaaaaa minggu kirim konfirmasi sedia barang kecewa kapokkkk pasahal camat hadehhhhh
barang kondisi nyala buku manual terima kasih headshet secondnya barangsampah
maaf kirim 2 buruk 6mati total 4 barang cacad warna hitam 1 pula ganti aja deskripsi bos warna random
1 pake udah ga nyala
parah nih gan udah 1 rusak kotak muas  rusak hancur paksa tutup solatip
barang bagus cuman beli minggu rusak pakai
yg ga nyala  yg putus2 suara
bluetooth deteksi susah
susah gak jelas dan yg 1 lg gak ketemu bluetooth nya
packing oke respon cepat buyer bilang headset retak jd ga kepake
thanks
layan buruk
kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 kirim pagi sore ditgl 3 undur kirim alas cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung sabtu minggu sampe kirim tgl 3 sore jnt minggu buka dan tau kirim tgl 5 siang sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
barang sesuai kes tipu moga tokopedia
barang jual ga sesuai bener2 tipu
sesuai foto barang kecewa
barang kosong konfirmasi dl beli jgn lsg refund
barang cacat beli 2 spekernya mati belah
kemas penyok penyok kualitas suara lumayan tp barang copot2
produk rusak fungsi
yg kirim mic-audio not rekomen
cepat response packaging bagus sayang untung girdernya bagus 2 giling ngeloss plastik girdernya kuat aus
invoice ongkir gampade 9pcs 2 25kg aktual timbang 0 8kg 8ons  bulat 1kg  mohon cek berat deal transaksi beli biar beli buang duit sia 
left left so far suara enakeun tp telinga kiri dua 
nga tau yach nga dipake cuman balikin males
gan barang sampai tpi card readernya gak pke
udah coba merek hp kadang pungsi kadang enggak
gak compatible samsung j7 prime samsung a5 hp coba gan tulis gan compatible hp aja rugi beli gak pakai
barang ada
hancur barang sy terima
kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 kirim pagi sore ditgl 3 undur kirim alas cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung sabtu minggu sampe kirim tgl 3 sore jnt minggu buka dan tau kirim tgl 5 siang sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
timbang sesuai beda 8 kg pas yimbng ulang
layan jelek interaksi dng tokopedia
barang sdh terima yg holdernya potong
pesan hitam ungu
main anak2 jgn beli barang
ga guna material jelek ga dipake krn ga muat hidung tajam kuping
barang yg promosi barang sampah
kualitas buruk harga kualitas
stock kosong ulas
jelek teliti baca deskripsi
kondisi terima patah
pakai pisau udah patah
gagal potong bawang merah
earphone yg satu ga bunyi
fungsi alat maklum harga gin
barang sesuai yg foto batang fungsi
barang kosong konfirmasi kirim  malah yg kirim uang bayar kembali  ahhh
gak sensitif
pakai gan barang
barang dummy fake pakai
kirim lambat pis
barang sesuai deskripsi jual jg ga lambat bgt kirim sm respon nya saran klo ga niat jual barang mending jual yg aja inti kecewa berat jgn beli barang
barang sesuai deskripsi
barang ga bs dipake krn rusak ato tp krn produk yg sampe bener2 ga sesuai sm yg jual kek dummy doang ga mekanisme tombol
barang sesuai deskripsi
dus penyok kirim chat order si jual past respon bayar chatpun bls kapok beli bayar tgl 24 kirim tgl 28 biar bintang yg bicara
tp isi alias tampil aja yg isi batrei ttp ga nambah
barang fungsi mesti port-nya fungsi dua lebih fungsi
gimana kasih ulas barang ganti uang konfirmasi
barang ada habis tidak pemberitahuan belum
penguin tikus tp ko tikung mondar mandir alat usir aja beli yg guyana2
barang tes gak ngaruh lampu hidup tombol on off gak fungsi gak jual
barang sesuai gambar  ukur
murah barang pake robek adahargaadakualitas plus jual kirim jasapengirimannya 
xl banget gak sesuai
barang sesuai harap
kemas jelek barang coba lsg copit benang2nya
thanks
dus hancur gan packingnya paksa
kabel gak ngecash buang2 duit
paket sdh terima tp barang lecet
barang kosong
rada keras lap
barang yg kosong gak konfirmasi barang yg kirim
next time ubah status kosong donk gan
kecewa headtset belah kiri mati suara bagua
kembali uang info barang kosong 
respons jual baik barang yg kirim sesuai spek yg tawar kecewa
batre tahan 20 mnit drop pd setel mp3
barang rusak saya bukti foto video tp proses lama jadi pilih batal komplenan dgn hasil uang kembali dan barang kembali
kabel gak cepat charging
barang tulis stock ada
nempel dasboard
barang pakai 10 menit udah low bat cas 1 malam
pakai gan belum baterai habis telah charge konek bluetooth nya dan pakai
beli 3 1 pakai
tampil yg kirim beda
sen 6pc yg retak 1 retak tp nyalah amp yg atu lg lampu ky putus gitu tp yg oke gk da mslh tlg cek lg sblm kirim barang 2 amp usaha da yg cacat
barang kosong konfirmasi mas kosong biar tukar
barang sesuai gambar order
brng sesuai untk kirim respon
baik layan harga beli kirim pesan kl barang gak gak sesuai pesan nanya sharusnya masih gak
barang sesuai klo gk jngn bilang ready toko online bnyk yg jjr hadeeeeeh
barang kirim pemberitahuan barng kosong
tombol hapus fungsi its freaking bad
beli 2 tombol hapus ndk fungsi semua komplain vidio posisi kota informasi barang ndk fungsi
tombol hapus fungsi
warna sesuai pesan tulis ato gambar terang bentuk lcd sesuai tampil gambar tokopedia padahal bilang cancel tapi tetep dijalanin ya so so harga segitu 
tombol hapus fungsi
order 1pcs rongsok nyesel banget irder toko ini nunggu order oertama dateng order lagi bener aja order dapet barang rongsok klo kirim toleransi lah barang tongsok jual tolong baik alias jual beli klo ngak dipake uang emang ngak tolong percaya beli jaga agar faedah yg beli berkah yg jual terus packingan jgn bubble wrap domg biaya asuransi klo packingan ngak jaga
barang yg kirim pesan beda yg tombol on off masalah sih coret
barang pakai clear bekas coret
pesan proses konfirmasi warna warna hitam checkout tp ngotot tolak jual tetep kirim random barang yg kirim barang rusak reset display corat coret pantes ngotot kirim random pesan senin gak proses2 br jumat jd rongsok not rekomen seller
dah tulis tp ndk hapus
barang kosooooong
sampah anggap aja sedekah deh produk sampah gak dipake buka stay away
kuning kasih gold omong
gak ad barang mohon baik layan harga beli kirim pesan kl barang gak gak sesuai pesan nanya sharusnya masih gak
salah ukur perhati jual
barang fungsi kirim cek kembali
kecewa udah tanya amp 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 kirim pagi sore ditgl 3 undur kirim alas cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung sabtu minggu sampe kirim tgl 3 sore jnt minggu buka dan tau kirim tgl 5 siang sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak
barang sesuai gambar kualitas suara baik dengung kecuali mic off saran tolong pilih jasa kurir tambah j amp at saja kemarin ambil gudang
tdk logo jbl huuuffffg
sen 4 barang yg nyampe 2 walopun refund cash tp ad konfirmasi dulu
sory gan gw kecewa 
barang kirim tp tanggungjawab lah karna kembali uang cash selip kirim yg
barang fungsi charger panas
maaf sesuai deskripsi konfirmasi kirim beda deskripsi terang doff yg bening botol terima kasih
pesan sesuai deskripsi pesan ni-cd kirim ni-mh
sesuai gambar ya tp harga segitu ya ya 
sesuai harga
beli barang gak bagus
barang fungsi  face id jalan  face id satu flexible connector speaker
blackscreen lcd gan terimakasih alam tambah ilmu gan mau retur ga posisi lcd pasang diframe nya tested blackscreen tp biar lampu layar padam posisi standby trus tekan tombol power home menu jelas normal telah pasang frame hati2 jd blackscreen terus retur ga bisa segel rusak
salah kasih barang hati2 toko
touch screen fungi
original apple original spare part ulang
kualitas parah kirimin blank retur kedap kedip gar
pakai 2 udah gk nyala lcdnya
ts ga fungsi 
seller ketik lapak advan s5e full view 4g s5e pro 4g kayak judul lapak udah ganti pas dichat datar retur kalo salah tipe sellernya yg salah ketik solusi akhir begono 
barang cepat sampe nga fungsi nga pake gan  ori
barang sy trima frame sesuai pesan chat solusi baca saja sungguh kecewa
lubang presisi miring
muas love tokopedi a suksma tokopedia
longgar 
maf gan anti gores ny kok gelembung gt pakai jd jelek hpny
terang isi 10 nyata 1 biji biji lo tuh muahal baut segitu 5rb
sesuai pesan packing rapi
barang ok tp layan
produk kirim uang ambil jual
barang baru ic mati
cepat respon barang sesuai foto ok makas
kurang hormat jual ic palsu fungsi anti ic yg asli maaf salah jual palsu semikonduktor yg asal pabrikan
yg sampai
barang lengkap tidak sesuwai diskusi
photo transistor sesuai produk yg kirim kirim transistor palsu tulis transistor sablon transistor pasang jebol
barang sesuai pesan
alhamduliah barang terima tapi kang kabel usb nyakok warna grey  pesan putih telah test barang alhamdulialh lancar terima kasih kang
kayak ori isi lambat orinya
terima kasih yaaa order yg kirim apa sdh diskusi produk ready notes invoice lengkap 
layan muas slow respon
merk campur beda2 kualitas sesuai harga
produk ukur lebar gak sesuai gambar tolong tingkat kualitas barang gan
sesuai pesan pesan size dateng size xl
sesuai deskripsi gk pake busa pake kawat
barang terima sesuai ukur ukur xl anak2
sesuai deskripsi kecewa online shop ini awal bodypack mah aman bagus coba kirim lihat belakang pas eh nyata detail ukur amp meleset dr angka yang tonjol sletingnya yg sesuai retur bisa saya ragu toko official store bodypack
official store tp buruk kecewa
pesan beda kirim
ga sesuai kaya barang loak
gak sesuai gambar bahan jaket 50rbuan
harga 200rb 39 an  kualitas 70 rb 39 an  maap kecewa
sssobek
barang 2 minggu sy kirim sis tolong kirim krn sepatu yg dikomplen hadiah saudara sy tunggu kirim dr bata official
bagus sich sayang banget blm pakai udah sobek dikit2 pinggir kalau kirim cek ya
